NatEmis,Province,Official_Institution_Name,STATUS,Sector,Phase_PED,Specialisation,GIS_Long,GIS_Lat,District Mun Name,Local MunName,Ward_ID,StreetAddress,Telephones,Telephone,Section21,School Fees,Urban_Rural,Towns/suburb,suburb_Latitude,suburb_longitude,Distance
700400092,Gt,Carpe Diem Academy,Open,Independent,Secondary School,Ordinary,28.26910019,-25.82769775,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900047,"713, Woody Street, Wingate Park, Pretoria",123452650,123452650,No,Yes,Urban,Wingate Park,-25.825,28.2697222,7.602370505893919
700400690,Gt,Tshwane College,Open,Independent,Combined School,Ordinary,28.195344,-25.742574,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"84, Sisulu Street, Pretoria Central, Pretoria",123225239,123225239,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,5.039999825734362
700400812,Gt,Wesleyan Christian Academy,Open,Independent,Combined School,Ordinary,28.285416,-25.788441,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900045,"242, Serene Street, Garsfontein, Pretoria",123488234,123488234,No,Yes,Urban,Garsfontein,-25.7944444,28.3,5.326667584862779
700400674,Gt,Regio Centurion Onafhanklike Skool,Open,Independent,Primary School,Ordinary,28.180172,-25.84141,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900066,", Cnr. Von Willich Avenue And Disa Street, Clubview, Centurion",126542031,126542031,No,Yes,Urban,Clubview,-25.8338889,28.1683333,10.37159219252991
700400386,Gt,Tshwane College,Open,Independent,Combined School,Ordinary,28.19807,-25.74576,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900081,"417, Church Street,  Arcadia, Pretoria",123225866,123225866,No,Yes,Urban,Arcadia,-25.7453,28.203,4.633127656913315
700401088,Gt,Curro The Blyde,Open,Independent,Combined School,Ordinary,28.375359,-25.757011,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900101,"1736, Tropical Street, The Blyde Estate, Pretoria East",870877970,870877970,No,Yes,Urban,The Blyde Estate,-25.759,28.37781,13.67525155496229
700401062,Gt,Taalnet Academy,Open,Independent,Combined School,Ordinary,28.226447,-25.747096,City Of Tshwane Metropolitan Municipality, City Of Tshwane Metropolitan Municipality,79900092,"939, Francis Baard Street, Arcadia, Pretoria",124302656,124302656,No,Yes,Urban,Arcadia,-25.7453,28.203,2.328751171926047
700400656,Gt,Veritas Akademie,Open,Independent,Primary School,Ordinary,28.205079,-25.8519,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900065,"143, Leonie Street, Dorinkloof, Centurion",126541191,126541191,No,Yes,Urban,Doringkloof,-25.8546,28.2095,10.26230831781845
700400257,Gt,Centurion Christelike Laerskool,Open,Independent,Primary School,Ordinary,28.17474,-25.83697,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900066,"61, Cnr. Edinburgh Street And Cornell Street, Clubview, Centurion",126547577,126547577,No,Yes,Urban,Clubview,-25.8338889,28.1683333,10.30529319927634
700400337,Gt,Watersrand Secondary School,Open,Independent,Secondary School,Ordinary,28.197557,-25.748449,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"386, Schoeman Street,Pretoria Central , Pretoria",793365549,793365549,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,4.554020696722413
700220145,Gt,Gereformeerde Laerskool Johannes Calvyn,Open,Independent,Primary School,Ordinary,28.232316666,-25.700788333,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900052,"800, 28Th Avenue, Rietfontein, Pretoria",123310218,123310218,No,Yes,Urban,Rietfontein,-25.7091,28.2205,7.103950441787659
700212285,Gt,Centurion Christian School,Open,Independent,Combined School,Ordinary,28.13204303,-25.86885057,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900070,"178, Aletta Avenue, Rasslouw, Centurion",126567004,126567004,No,Yes,Urban,Raslouw,-25.8665,28.1362,15.78155742891284
700400303,Gt,Elturion Independent Christian School,Open,Independent,Primary School,Ordinary,28.1644,-25.85349,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900078,"256, Tipperary Road, Hennopspark, Centurion",126546818,126546818,No,Yes,Urban,Hennopspark,-25.8497222,28.1741667,12.38509118323391
700400935,Gt,Centurion Montessori,Open,Independent,Primary School,Ordinary,28.158393,-25.871886,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900069,"11, Escourt Avenue, Wierdapark, Centurion",126534177,126534177,No,Yes,Urban,Wierda Park,-25.8605,28.1445,14.39044653023381
700401034,Gt,North American International School,Open,Independent,Combined School,Ordinary,28.2599,-25.7686,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900082,"99, 13Th Street, Menlo Park, Pretoria",123462530,123462530,No,Yes,Urban,Menlo Park,-25.769851,28.259971,2.113462640041883
700400502,Gt,Rietvlei Akademie,Open,Independent,Primary School,Ordinary,28.268448,-25.8469,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900047,"58, Jochem, Rietvalleirand, Pretoria",603417490,603417490,No,Yes,Urban,Rietvalleirand,-25.8367388,28.2523976,9.57469445466589
700212068,Gt,Pretoria Preparatory School,Open,Independent,Primary School,Ordinary,28.24300309,-25.76358036,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900056,"262, Murray Street, , Brooklyn, Pretoria",123620308,123620308,No,Yes,Urban,Brooklyn,-25.7646,28.2393,0.3882770635394261
700400498,Gt,Edu Excellence Private School,Open,Independent,Intermediate School,Ordinary,28.28458,-25.782256,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900046,"75, Boskop Street, Lynwooddglen, Pretoria",123610686,123610686,No,Yes,Urban,Lynnwood Glen,-25.7727778,28.2794444,4.945266611033153
700400728,Gt,The British Academy,Open,Independent,Secondary School,Ordinary,28.230899,-25.776338,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900056,"202, Main Street, New Muckleneuk, Pretoria",129405343,129405343,No,Yes,Urban,New Muckleneuk,-25.7691667,28.2308333,1.549574506779263
700400187,Gt,Abc Primary School,Open,Independent,Primary School,Ordinary,28.152273,-25.744584,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900060,"381, 381 Rose-Etta Street, , Pretoria West, Pretoria",123274274,123274274,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,9.008157980201627
700400807,Gt,Tzuria Learning Centre,Open,Independent,Secondary School,Ordinary,28.150574,-25.814911,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900066,"11, Hugo Road, Valhalla, Centurion",632609594,632609594,No,Yes,Urban,Valhalla,-25.8105,28.1503,10.50022023132219
700400165,Gt,Montessori Academy And College,Open,Independent,Combined School,Ordinary,28.352903,-25.822842,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900091,"84, Zwavelpoort, , Zwavelpoort, Pretoria",129963312,129963312,No,Yes,Urban,Zwavelpoort,-25.7811427273,28.3883290909,13.0936448750981
700401070,Gt,Middawn Science Academy,Open,Independent,Combined School,Ordinary,28.204075,-25.754964,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900081,"501, Jorrison Street, Sunnyside, Pretoria",835680611,835680611,No,Yes,Urban,Sunnyside,-25.7535,28.2079,3.691510756016045
700400732,Gt,Veritas Academics,Open,Independent,Combined School,Ordinary,28.159338,-25.884483,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900064,"9, Panorama Road, Rooihuiskraal, Centurion",747935078,747935078,No,Yes,Urban,Rooihuiskraal,-25.8933333,28.1513889,15.51360768135277
700400005,Gt,Princefield Trust School,Open,Independent,Combined School,Ordinary,28.18252,-25.746978334,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"85, Church Street, , Pretoria",120231020,120231020,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,6.021620128944392
700400757,Gt,Brooklyn Montessori School,Open,Independent,Primary School,Ordinary,28.253616,-25.773132,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900082,"358, Brooklyn Road, Menlo Park, Menlo Park, Pretoria",124609626,124609626,No,Yes,Urban,Menlo Park,-25.769851,28.259971,1.719229080263636
700400576,Gt,Empro Academy,Open,Independent,Combined School,Ordinary,28.117101,-25.849604,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900070,"66, Erasmus Street, Raslouw, Centurion",127677980,127677980,No,Yes,Urban,Raslouw,-25.8528948,28.1186786,15.45472057262386
700400748,Gt,Eastside Primary School,Open,Independent,Primary School,Ordinary,28.301913,-25.812211,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900045,"850, Primula Road, Moreleta Park, Moreleta Park, Pretoria",129931725,129931725,No,Yes,Urban,Moreleta Park,-25.728029,28.2843071,8.2010811524955
700212233,Gt,Cresta College,Open,Independent,Combined School,Ordinary,28.146428,-25.854873,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900070,"164, Springbok Street, , Wierdapark, Centurion",126541565,126541565,No,Yes,Urban,Wierda Park,-25.8605,28.1445,13.6656897958508
700400897,Gt,Gauteng Central College,Open,Independent,Combined School,Ordinary,28.197406,-25.747484,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"391, Pretorius Street, Pretoria Central, Pretoria",123203691,123203691,No,Yes,Urban,Pretoria Central,-25.7518426,28.1899743,4.610895484028068
700210922,Gt,The Waldorf School At Rosemary Hills,Open,Independent,Intermediate School,Ordinary,28.43190122,-25.79021744,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900101,"257, Mooiplaaats, , Cullinan, Cullinan",128021175,128021175,No,Yes,Rural,Cullinan,-25.670556,28.528889,19.52633017485103
700400447,Gt,Loerie Land Independent School,Open,Independent,Combined School,Ordinary,28.130531,-25.897972,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900064,"1, Osche Street, The Reeds, Centurion",815544976,815544976,No,Yes,Urban,The Reeds,-25.8991667,28.1341667,18.36420513176814
700401080,Gt,North Angelos Christian College,Open,Independent,Combined School,Ordinary,28.17470845,-25.67317791,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900002,"294,  Ben Viljoen Steet, Pretoria North, Pretoria",120231030,120231030,No,Yes,Urban,Pretoria North,-25.672735,28.1734163,12.02477411629812
700400625,Gt,Victorious G & B Primary School,Open,Independent,Combined School,Ordinary,28.164294,-25.745396,City Of Tshwane Metropolitan Municipality, City Of Tshwane Metropolitan Municipality,79900058,"336, Ketjen Street, Pretoria West, Pretoria",123068411,123068411,No,Yes,Urban,Pretoria West,-25.7494725,28.1568104,7.819906740233432
700212076,Gt,Pro-Ed Preparatory School,Open,Independent,Intermediate School,Ordinary,28.225407,-25.745007,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900092,"916, Pretorius Street, , Arcadia, Pretoria",124306215,124306215,No,Yes,Urban,Arcadia,-25.7453,28.203,2.57957222725127
700400148,Gt,Village Montessori Primary School,Open,Independent,Primary School,Ordinary,28.198205523,-25.843796004,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900057,"245, 245 Glover Avenue, , Lyttleton, Centurion",126642944,126642944,No,Yes,Rural,Lyttelton,-25.8181,28.2117,9.6933810350109
700400973,Gt,Cornerstone Private School,Open,Independent,Primary School,Ordinary,28.212827,-25.749884,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900092,"651, Park Street, Sunnyside, Pretoria",123433251,123433251,No,Yes,Urban,Sunnyside,-25.7535,28.2079,3.116306879215218
700400285,Gt,Duo Edu Senioronafhanklike Skool,Open,Independent,Secondary School,Ordinary,28.27887,-25.80917,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900083,"565, William Nicol Street, , Constantia Park, Pretoria",129934453,129934453,No,Yes,Urban,Constantia Park,-25.8080556,28.2822222,6.334969987013308
700210070,Gt,Cvo Skool Pretoria,Open,Independent,Combined School,Ordinary,28.37036357,-25.80269644,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900091,"373, Van Gedeelte, , Zwavelpoort, Bronkhorstspruit",121117398,121117398,No,Yes,Urban,Zwavelpoort,-25.7811427273,28.3883290909,13.80662008649182
700220087,Gt,Queenswood Christian College,Open,Independent,Combined School,Ordinary,28.214085,-25.712136667,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900053,"85, Marjoram Street, Wonderboom Agricultural Holdings, Annlin, Pretoria",125433552,125433552,No,Yes,Urban,Wonderboom,-25.6833333,28.2113889,6.338891966679123
700400761,Gt,West View College,Open,Independent,Primary School,Ordinary,28.142149,-25.850249,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900070,"79, Cnr Willem Botha Avenue And Bosduif Crescent, Wierda Park, Centurion",126545882,126545882,No,Yes,Urban,Wierda Park,-25.7435894,28.1426968,13.59953026664144
700400638,Gt,Bronberg Akademie,Open,Independent,Combined School,Ordinary,28.337817,-25.814457,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900101,", Cnr Ajax Avenue And Atterbury Road, Olympus, Pretoria",104468328,104468328,No,Yes,Urban,Olympus Ah,-25.8067289596,28.351772125,11.3198157319612
700400835,Gt,Tshedza Pre-Primary School,Open,Independent,Primary School,Ordinary,28.195582,-25.743724,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900058,"126, Cnr Sisulu And Madiba Streets, Arcadia, Pretoria",123266203,123266203,No,Yes,Urban,Arcadia,-25.7453,28.203,4.9584135169717
700400072,Gt,Lesedi La Ditshaba,Open,Independent,Primary School,Ordinary,28.094286,-25.466237,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900094,"1343, Block Gg, Soshanguve, Pretoria",127982407,127982407,No,Yes,Urban,Soshanguve,-25.5263889,28.0994444,36.12022256100795
700401022,Gt,Advanced College,Open,Independent,Combined School,Ordinary,28.273866,-25.715409,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900087,"325, Staimvoel And Koedoespoort Road,  Koedoespoort,  Koedoespoort, Pretoria",128001268,128001268,No,Yes,Urban,Koedoespoort,-25.0486111,28.8622222,6.459617074674334
700400008,Gt,Founders Community School,Open,Independent,Combined School,Ordinary,28.19383287,-25.7585711,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900080,"1, Cnr. Railway  And Tulleken Street, , Berea Park, Pretoria",123229914,123229914,No,Yes,Urban,Berea Park,-25.7592,28.194,4.609856371726273
700400036,Gt,Courtney House,Open,Independent,Combined School,Ordinary,28.213896497,-25.772656715,City Of Tshwane Metropolitan Municipality,City Of Tshwane Metropolitan Municipality,79900059,"202, Main Street, , New Muckleneuk, Pretoria",823050165,823050165,No,Yes,Urban,New Muckleneuk,-25.7691667,28.2308333,2.700093465578223
