NatEmis,Province,Official_Institution_Name,STATUS,Sector,Phase_PED,Specialisation,GIS_Long,GIS_Lat,District Mun Name,Local MunName,Ward_ID,Town_City,StreetAddress,Telephone,Section21,School Fees,Urban_Rural,Town_Suburb,Towns/suburb,suburb_coordinates
700400753,GT,LIGNO VITAE ACADEMY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.271021,-25.732499,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900087,PRETORIA,"27, FRANS ODENDAAL STREET, WEAVIND PARK, PRETORIA",128041736,NO,Yes,URBAN,WEAVIND PARK,Weavind Park,"(-25.7322, 28.2717 )"
700401049,GT,CHRISTELIKE LAESKOOL ELOFFSDAL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.188639,-25.706528,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900054,PRETORIA,"760, MANCE AVENUE, MAYVILLE, PRETORIA",662230898,NO,Yes,URBAN,MAYVILLE,Mayville,"( -25.7011254408, 28.1815616199)"
700400806,GT,ENDERUN COLLEGE (FOR BOYS),OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.08198,-25.771802,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900051,PRETORIA,"2A, CNR MONOA AND THINDIZA STREET, ATTERIDGEVILLE, PRETORIA",123730551,NO,Yes,URBAN,ATTERIDGEVILLE,Atteridgeville,"(-25.7629818, 28.0748568)"
700400866,GT,TSHWANE CITY COLLEGE,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.191083,-25.744607,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"262, MADIBA STREET, PRETORIA CENTRAL, PRETORIA",123236550,NO,Yes,URBAN,PRETORIA CENTRAL ,Pretoria Central ,"(-25.7518426, 28.1899743)"
700400470,GT,MOOT CHRISTIAN ACADEMY,CLOSED,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.21422,-25.711994,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900053,PRETORIA,"613, 16 TH AVENUE, RIETFONTEIN, PRETORIA",213318274,NO,Yes,URBAN,RIETFONTEIN,Rietfontein,"(-25.7091, 28.2205)"
700232702,GT,ANCHOR CHRISTIAN ACADEMY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.276813,-25.70773,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900087,PRETORIA,"69, SWAAN STREET, EAST LYNNE, WAVERLY, PRETORIA",722019944,NO,Yes,URBAN,EAST LYNNE,East Lynne,"(-25.7064, 28.2730)"
700400578,GT,JONG LEERLING AKADEMIE,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.287188,-25.784619,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900045,PRETORIA,"245, HAROLD KITSON, GARSFONTEIN, PRETORIA",123616314,NO,Yes,URBAN,GARSFONTEIN,Garsfontein,"(-25.7944444, 28.3)"
700401020,GT,MOOT AKADEMIE PRETORIA,OPEN,INDEPENDENT,PRIMARY SCHOOL,NOT APPLICABLE,28.2358,-25.7209,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900084,PRETORIA,"377, 30TH AVENUE, VILLIERIA, PRETORIA",128001268,NO,Yes,URBAN,VILLIERIA,Villieria,"(-25.7161111, 28.2355556)"
700400501,GT,EXCELSIOR ROOIHUISKRAAL AKADEMIE,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.151564,-25.898095,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900064,PRETORIA,"7, VLAKVOELTJIE, ROOIHUISKRAAL, CENTURION",126610528,NO,Yes,URBAN,ROOIHUISKRAAL,Rooihuiskraal,"(-25.8933333, 28.1513889)"
700400862,GT,IMPERIAL LONDON PRIVATE HIGH SCHOOL,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.202874,-25.741376,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"1, BAILEY ROAD, ARCADIA, PRETORIA",120400060,NO,Yes,URBAN,ARCADIA,Arcadia,"(-25.7453, 28.2030)"
700401009,GT,MORNING STAR MONTESSORI SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.304215,-25.776398,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900044,PRETORIA,"353-357,  MANITOBA DRIVE, FAERIE GLEN, FAERIE GLEN, PRETORIA",129910228,NO,Yes,URBAN,FAERIE GLEN,Faerie Glen,"(-25.7816666, 28.3077777)"
700400345,GT,HAYWOOD COLLEGE,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.18534,-25.7427,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"80, BOSMAN STREET,PRETORIA CENTAL , PRETORIA",124425075,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700401052,GT,RIETVLEI AKADEMIE-LYTTELTON,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.206802,-25.833361,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900057,CENTURION,", CNR LANGEBRINK AND BURGER AVENUE, LYTTELTON, CENTURION",674125036,NO,Yes,URBAN,LYTTELTON,Lyttelton,"(-25.8181, 28.2117)"
700400495,GT,SEDCO COLLEGE-PRETORIA,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.197926,-25.749618,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"325, DU-TOIT STREET CNR SKINNER STREET, PRETORIA CBD, PRETORIA",124425134,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400762,GT,EVEREST ACADEMY,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.30997,-25.814891,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900045,PRETORIA,"1031, SEELEEU STREET, PRETORIUS PARK, PRETORIA",129933709,NO,Yes,URBAN,PRETORIUS PARK,Pretorius Park,"(-25.810419, 28.330058)"
700400144,GT,REVIVAL CHRISTIAN SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.184342961,-25.698404312,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900054,PRETORIA,"1, CNR. DORTIMER STREET AND BAAN STREET, , MAYVILLE, PRETORIA",721518242,NO,Yes,URBAN,MAYVILLE,Mayville,"( -25.7011254408, 28.1815616199)"
700211888,GT,VILLAGE MONTESSORI HIGH SCHOOL,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.193235,-25.840616667,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900057,CENTURION,"245, GLOVER AVENUE, , LYTTLETON, CENTURION",126642944,NO,Yes,URBAN,LYTTELTON,Lyttelton,"(-25.8181, 28.2117)"
700400941,GT,STENHAM PRIVATE SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.152553,-25.748546,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900060,PRETORIA,"255, CNR ROSE ETTA AND FW NKOMO, PRETORIA WEST, PRETORIA",121111075,NO,Yes,URBAN,PRETORIA WEST,Pretoria West,"(-25.7494725, 28.1568104)"
700400990,GT,SILVER OAKS INTERNATIONAL,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.258242,-25.778015,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900082,PRETORIA,"40, PINASTER STREET, HAZELWOOD, PRETORIA",123464770,NO,Yes,URBAN,HAZELWOOD,Hazelwood,"(-25.7778, 28.2578)"
700400444,GT,ROSTEC TECHNICAL COLLEGE- PTA,OPEN,INDEPENDENT,SECONDARY SCHOOL,NOT APPLICABLE,28.196797,-25.746906,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"378, PRETORIUS STREET, REZMEP BUILDING, PRETORIA CENTRAL, PRETORIA",123208078,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400135,GT,PIERRE VAN RYNEVELD CHRISTIAN ACADEMY INDEPENDENT SCHOOL,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.242503932,-25.838681438,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900079,CENTURION,"102, 102 SPITFIRE AVENUE, , PIERRE VAN RYNEVELD, CENTURION",126620469,NO,Yes,URBAN,PIERRE VAN RYNEVELD,Pierre Van Ryneveld,"(-25.8369444, 28.2416667)"
700230953,GT,LAERSKOOL PRESDA,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.3800802,-25.83096342,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900091,BRONKHOSTSPRUIT,"91, ZWAVELPOORT, , ZWAVELPOORT, BRONKHOSTSPRUIT",129961629,NO,Yes,URBAN,ZWAVELPOORT,Zwavelpoort,"(-25.7811427273, 28.3883290909)"
700241787,GT,CHARIS CHRISTIAN SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.19339968,-25.67345241,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900096,AKASIA,"1, CORNER OF SAGE AND LAVENDER ROADS, WONDERBOOM, SINOVILLE, AKASIA",125430518,NO,Yes,URBAN,WONDERBOOM,Wonderboom,"(-25.6833333, 28.2113889)"
700400189,GT,THE VILLAGE WALDORF INDEPENDENT PRIMARY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.25844,-25.837,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900047,PRETORIA,"48, BLUE CRANE AVENUE, RIETVALLEIRAND, RIETVALEIRAND, PRETORIA",123453771,NO,Yes,URBAN,RIETVALLEIRAND,Rietvalleirand,"(-25.8367388, 28.2523976)"
700401012,GT,3D CHRISTIAN ACADEMY,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.163914,-25.856549,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900078,PRETORIA,"280, TIPPERARY STREET, BRONBERRICK,  CENTURION",126600212,NO,Yes,URBAN,BRONBERRICK,Bronberrick,"(-25.8591667, 28.1683333)"
700400553,GT,EDU-CLINIC LEARNING CENTRE,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.09154,-25.811435,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900061,PRETORIA,"386, VROLIKSPRUIT STREET, ERASMIA, PRETORIA",123741758,NO,Yes,URBAN,ERASMIA,Erasmia,"(-25.8123747, 28.0944415)"
700400092,GT,CARPE DIEM ACADEMY,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.26910019,-25.82769775,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900047,PRETORIA,"713, WOODY STREET, WINGATE PARK, PRETORIA",123452650,NO,Yes,URBAN,WINGATE PARK,Wingate Park,"(-25.825, 28.2697222)"
700400690,GT,TSHWANE COLLEGE,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.195344,-25.742574,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"84, SISULU STREET, PRETORIA CENTRAL, PRETORIA",123225239,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400812,GT,WESLEYAN CHRISTIAN ACADEMY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.285416,-25.788441,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900045,PRETORIA,"242, SERENE STREET, GARSFONTEIN, PRETORIA",123488234,NO,Yes,URBAN,GARSFONTEIN,Garsfontein,"(-25.7944444, 28.3)"
700400674,GT,REGIO CENTURION ONAFHANKLIKE SKOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.180172,-25.84141,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900066,PRETORIA,", CNR. VON WILLICH AVENUE AND DISA STREET, CLUBVIEW, CENTURION",126542031,NO,Yes,URBAN,CLUBVIEW,Clubview,"(-25.8338889, 28.1683333)"
700400386,GT,TSHWANE COLLEGE,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.19807,-25.74576,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900081,PRETORIA,"417, CHURCH STREET,  ARCADIA, PRETORIA",123225866,NO,Yes,URBAN,ARCADIA,Arcadia,"(-25.7453, 28.2030)"
700401088,GT,CURRO THE BLYDE,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.375359,-25.757011,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,PRETORIA,"1736, TROPICAL STREET, THE BLYDE ESTATE, PRETORIA EAST",870877970,NO,Yes,URBAN,THE BLYDE ESTATE,The Blyde Estate,"( -25.759, 28.37781)"
700401062,GT,TAALNET ACADEMY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.226447,-25.747096,CITY OF TSHWANE METROPOLITAN MUNICIPALITY, CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900092,PRETORIA,"939, FRANCIS BAARD STREET, ARCADIA, PRETORIA",124302656,NO,Yes,URBAN,ARCADIA,Arcadia,"(-25.7453, 28.2030)"
700400656,GT,VERITAS AKADEMIE,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.205079,-25.8519,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900065,PRETORIA,"143, LEONIE STREET, DORINKLOOF, CENTURION",126541191,NO,Yes,URBAN,DORINGKLOOF,Doringkloof,"(-25.8546, 28.2095)"
700400257,GT,CENTURION CHRISTELIKE LAERSKOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.17474,-25.83697,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900066,PRETORIA,"61, CNR. EDINBURGH STREET AND CORNELL STREET, CLUBVIEW, CENTURION",126547577,NO,Yes,URBAN,CLUBVIEW,Clubview,"(-25.8338889, 28.1683333)"
700400337,GT,WATERSRAND SECONDARY SCHOOL,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.197557,-25.748449,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900058,PRETORIA,"386, SCHOEMAN STREET,PRETORIA CENTRAL , PRETORIA",793365549,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700220145,GT,GEREFORMEERDE LAERSKOOL JOHANNES CALVYN,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.232316666,-25.700788333,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900052,PRETORIA,"800, 28TH AVENUE, RIETFONTEIN, PRETORIA",123310218,NO,Yes,URBAN,RIETFONTEIN,Rietfontein,"(-25.7091, 28.2205)"
700212285,GT,CENTURION CHRISTIAN SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.13204303,-25.86885057,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900070,CENTURION,"178, ALETTA AVENUE, RASSLOUW, CENTURION",126567004,NO,Yes,URBAN,RASLOUW,Raslouw,"(-25.8665, 28.1362)"
700400303,GT,ELTURION INDEPENDENT CHRISTIAN SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.1644,-25.85349,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900078,CENTURION,"256, TIPPERARY ROAD, HENNOPSPARK, CENTURION",126546818,NO,Yes,URBAN,HENNOPSPARK,Hennopspark,"(-25.8497222, 28.1741667)"
700400935,GT,CENTURION MONTESSORI,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.158393,-25.871886,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900069,PRETORIA,"11, ESCOURT AVENUE, WIERDAPARK, CENTURION",126534177,NO,Yes,URBAN,WIERDA PARK,Wierda Park,"(-25.8605, 28.1445)"
700401034,GT,NORTH AMERICAN INTERNATIONAL SCHOOL,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.2599,-25.7686,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900082,PRETORIA,"99, 13TH STREET, MENLO PARK, PRETORIA",123462530,NO,Yes,URBAN,MENLO PARK,Menlo Park,"(-25.769851, 28.259971)"
700400502,GT,RIETVLEI AKADEMIE,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.268448,-25.8469,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900047,PRETORIA,"58, JOCHEM, RIETVALLEIRAND, PRETORIA",603417490,NO,Yes,URBAN,RIETVALLEIRAND,Rietvalleirand,"(-25.8367388, 28.2523976)"
700212068,GT,PRETORIA PREPARATORY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.24300309,-25.76358036,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900056,PRETORIA,"262, MURRAY STREET, , BROOKLYN, PRETORIA",123620308,NO,Yes,URBAN,BROOKLYN,Brooklyn,"(-25.7646, 28.2393)"
700400498,GT,EDU EXCELLENCE PRIVATE SCHOOL,OPEN,INDEPENDENT,INTERMEDIATE SCHOOL,ORDINARY,28.28458,-25.782256,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900046,PRETORIA,"75, BOSKOP STREET, LYNWOODDGLEN, PRETORIA",123610686,NO,Yes,URBAN,LYNNWOOD GLEN,Lynnwood Glen,"(-25.7727778, 28.2794444)"
700400728,GT,THE BRITISH ACADEMY,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.230899,-25.776338,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900056,PRETORIA,"202, MAIN STREET, NEW MUCKLENEUK, PRETORIA",129405343,NO,Yes,URBAN,NEW MUCKLENEUK,New Muckleneuk,"(-25.7691667, 28.2308333)"
700400187,GT,ABC PRIMARY SCHOOL,OPEN,INDEPENDENT,PRIMARY SCHOOL,ORDINARY,28.152273,-25.744584,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900060,PRETORIA,"381, 381 ROSE-ETTA STREET, , PRETORIA WEST, PRETORIA",123274274,NO,Yes,URBAN,PRETORIA CENTRAL,Pretoria Central,"(-25.7518426, 28.1899743)"
700400807,GT,TZURIA LEARNING CENTRE,OPEN,INDEPENDENT,SECONDARY SCHOOL,ORDINARY,28.150574,-25.814911,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900066,PRETORIA,"11, HUGO ROAD, VALHALLA, CENTURION",632609594,NO,Yes,URBAN,VALHALLA,Valhalla,"(-25.8105, 28.1503)"
700400165,GT,MONTESSORI ACADEMY AND COLLEGE,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.352903,-25.822842,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900091,PRETORIA,"84, ZWAVELPOORT, , ZWAVELPOORT, PRETORIA",129963312,NO,Yes,URBAN,ZWAVELPOORT,Zwavelpoort,"(-25.7811427273, 28.3883290909)"
700401070,GT,MIDDAWN SCIENCE ACADEMY,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.204075,-25.754964,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900081,PRETORIA,"501, JORRISON STREET, SUNNYSIDE, PRETORIA",835680611,NO,Yes,URBAN,SUNNYSIDE,Sunnyside,"(-25.7535, 28.2079)"
700400732,GT,VERITAS ACADEMICS,OPEN,INDEPENDENT,COMBINED SCHOOL,ORDINARY,28.159338,-25.884483,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900064,PRETORIA,"9, PANORAMA ROAD, ROOIHUISKRAAL, CENTURION",747935078,NO,Yes,URBAN,ROOIHUISKRAAL,Rooihuiskraal,"(-25.8933333, 28.1513889)"
